Number	1		2		3		4		5		6		7		8		9		10	
Initial Label	Not Enough Info		In a relationship		In a relationship		In a relationship		Not enough info		Not enough info		In a relationship		In a relationship		In a relationship		Not enough info	
	Time_1	Label_1	Time_2	Label_2	Time_3	Label_3	Time_4	Label_4	Time_5	Label_5	Time_6	Label_6	Time_7	Label_7	Time_8	Label_8	Time_9	Label_9	Time_10	Label_10
	Day 1	Not enough info	Day 1	In a relationship	Day 1	In a relationship	Day 1	In a relationship	Day 1	Not enough info	Day 1	Not enough info	Day 1	In a relationship	Day 1	In a relationship	Day 1	In a relationship	Day 1	Not enough info
	Day 2	Not enough info	Day 2	In a relationship	Day 2	In a relationship	Day 2	In a relationship	Day 2	Not enough info	Day 2	Not enough info	Day 2	In a relationship	Day 2	In a relationship	Day 2	In a relationship	Day 2	Not enough info
	Day 3	Not enough info	Day 3	In a relationship	Day 3	In a relationship	Day 3	In a relationship	Day 3	Not enough info	Day 3	Not enough info	Day 3	In a relationship	Day 3	In a relationship	Day 3	In a relationship	Day 3	Not enough info
	Day 4	Not enough info	Day 4	In a relationship	Day 4	In a relationship	Day 4	In a relationship	Day 4	Not enough info	Day 4	Not enough info	Day 4	In a relationship	Day 4	In a relationship	Day 4	In a relationship	Day 4	Not enough info
	Day 5	Not enough info	Day 5	In a relationship	Day 5	In a relationship	Day 5	In a relationship	Day 5	Not enough info	Day 5	Not enough info	Day 5	In a relationship	Day 5	In a relationship	Day 5	In a relationship	Day 5	Not enough info
	Day 6	Not enough info	Day 6	In a relationship	Day 6	In a relationship	Day 6	In a relationship	Day 6	Not enough info	Day 6	Not enough info	Day 6	In a relationship	Day 6	In a relationship	Day 6	In a relationship	Day 6	Not enough info
	Day 7	Not enough info	Day 7	In a relationship	Day 7	In a relationship	Day 7	In a relationship	Day 7	Not enough info	Day 7	Not enough info	Day 7	In a relationship	Day 7	In a relationship	Day 7	In a relationship	Day 7	Not enough info
	Day 8	Not enough info	Day 8	In a relationship	Day 8	In a relationship	Day 8	In a relationship	Day 8	Not enough info	Day 8	Not enough info	Day 8	In a relationship	Day 8	In a relationship	Day 8	In a relationship	Day 8	Not enough info
	Day 9	Not enough info	Day 9	In a relationship	Day 9	In a relationship	Day 9	In a relationship	Day 9	Not enough info	Day 9	Not enough info	Day 9	In a relationship	Day 9	In a relationship	Day 9	In a relationship	Day 9	Not enough info
	Day 10	Not enough info	Day 10	In a relationship	Day 10	In a relationship	Day 10	In a relationship	Day 10	Not enough info	Day 10	Not enough info	Day 10	In a relationship	Day 10	In a relationship	Day 10	In a relationship	Day 10	Not enough info
	Day 11	Not enough info	Day 11	In a relationship	Day 11	In a relationship	Day 11	In a relationship	Day 11	Not enough info	Day 11	Not enough info	Day 11	In a relationship	Day 11	In a relationship	Day 11	In a relationship	Day 11	Not enough info
	Day 12	Not enough info	Day 12	In a relationship	Day 12	In a relationship	Day 12	In a relationship	Day 12	Not enough info	Day 12	Not enough info	Day 12	In a relationship	Day 12	In a relationship	Day 12	In a relationship	Day 12	Not enough info
	Day 13	Not enough info	Day 13	In a relationship	Day 13	In a relationship	Day 13	Not enough info	Day 13	Not enough info	Day 13	Not enough info	Day 13	Single	Day 13	In a relationship	Day 13	In a relationship	Day 13	Not enough info
	Day 14	Not enough info	Day 14	In a relationship	Day 14	In a relationship	Day 14	Not enough info	Day 14	Single	Day 14	Married	Day 14	Single	Day 14	In a relationship	Day 14	In a relationship	Day 14	Not enough info
	Day 15	Not enough info	Day 15	In a relationship	Day 15	In a relationship	Day 15	Not enough info	Day 15	Single	Day 15	Married	Day 15	Single	Day 15	In a relationship	Day 15	In a relationship	Day 15	Married
	Day 16	Not enough info	Day 16	In a relationship	Day 16	In a relationship	Day 16	Not enough info	Day 16	Single	Day 16	Married	Day 16	Single	Day 16	In a relationship	Day 16	In a relationship	Day 16	Married
	Day 17	Not enough info	Day 17	In a relationship	Day 17	Married	Day 17	Married	Day 17	Not enough info	Day 17	Married	Day 17	Married	Day 17	In a relationship	Day 17	In a relationship	Day 17	Married
	Day 18	Not enough info	Day 18	In a relationship	Day 18	Married	Day 18	Married	Day 18	Not enough info	Day 18	Married	Day 18	Married	Day 18	In a relationship	Day 18	In a relationship	Day 18	Married
	Day 19	Single	Day 19	In a relationship	Day 19	Married	Day 19	Married	Day 19	Not enough info	Day 19	Married	Day 19	Married	Day 19	In a relationship	Day 19	In a relationship	Day 19	Married
	Day 20	Single	Day 20	In a relationship	Day 20	Married	Day 20	Married	Day 20	Not enough info	Day 20	Married	Day 20	Not enough info	Day 20	In a relationship	Day 20	In a relationship	Day 20	Married
	Day 21	Single	Day 21	In a relationship	Day 21	Married	Day 21	Not enough info	Day 21	Not enough info	Day 21	Married	Day 21	Not enough info	Day 21	In a relationship	Day 21	In a relationship	Day 21	Not enough info
	Day 22	Single	Day 22	In a relationship	Day 22	Not enough info	Day 22	Not enough info	Day 22	Not enough info	Day 22	Not enough info	Day 22	Not enough info	Day 22	In a relationship	Day 22	In a relationship	Day 22	Not enough info
	Day 23	Not enough info	Day 23	In a relationship	Day 23	Not enough info	Day 23	Not enough info	Day 23	Not enough info	Day 23	Not enough info	Day 23	Not enough info	Day 23	In a relationship	Day 23	In a relationship	Day 23	Not enough info
	Day 24	Not enough info	Day 24	In a relationship	Day 24	Not enough info	Day 24	Not enough info	Day 24	Not enough info	Day 24	Not enough info	Day 24	Not enough info	Day 24	In a relationship	Day 24	In a relationship	Day 24	Not enough info
	Day 25	Not enough info	Day 25	In a relationship	Day 25	Not enough info	Day 25	Not enough info	Day 25	Not enough info	Day 25	Not enough info	Day 25	Not enough info	Day 25	In a relationship	Day 25	In a relationship	Day 25	Not enough info
	Day 26	Not enough info	Day 26	Not enough info	Day 26	Not enough info	Day 26	Not enough info	Day 26	Not enough info	Day 26	Not enough info	Day 26	Not enough info	Day 26	In a relationship	Day 26	Not enough info	Day 26	Not enough info
	Day 27	Not enough info	Day 27	Not enough info	Day 27	Not enough info	Day 27	Not enough info	Day 27	Not enough info	Day 27	Not enough info	Day 27	Not enough info	Day 27	In a relationship	Day 27	Not enough info	Day 27	Not enough info
	Day 28	Not enough info	Day 28	Not enough info	Day 28	Not enough info	Day 28	Not enough info	Day 28	Not enough info	Day 28	Not enough info	Day 28	Not enough info	Day 28	In a relationship	Day 28	Not enough info	Day 28	Not enough info
	Day 29	Not enough info	Day 29	Not enough info	Day 29	Not enough info	Day 29	Not enough info	Day 29	Not enough info	Day 29	Not enough info	Day 29	Not enough info	Day 29	In a relationship	Day 29	Not enough info	Day 29	Not enough info
	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	In a relationship	Day 30	Not enough info	Day 30	Not enough info
	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	In a relationship	Day 31	Not enough info	Day 31	Not enough info
	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	In a relationship	Day 32	Not enough info	Day 32	Not enough info
	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	In a relationship	Day 33	Not enough info	Day 33	Not enough info
	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	In a relationship	Day 34	Not enough info	Day 34	Not enough info
	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	In a relationship	Day 35	Not enough info	Day 35	Not enough info
	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	In a relationship	Day 36	Not enough info	Day 36	Not enough info
	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	In a relationship	Day 37	Not enough info	Day 37	Not enough info
	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	In a relationship	Day 38	Not enough info	Day 38	Not enough info
	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	In a relationship	Day 39	Not enough info	Day 39	Not enough info
	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	In a relationship	Day 40	Not enough info	Day 40	Not enough info
	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	In a relationship	Day 41	Not enough info	Day 41	Not enough info
	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	In a relationship	Day 42	Not enough info	Day 42	Not enough info
	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	In a relationship	Day 43	Not enough info	Day 43	Not enough info