1, 	1		2		3		4		5	
Initial Label	Not enough info		Not enough info		Not enough info		Not enough info		Not enough info	
	Time	Label	Time	Label	Time	Label	Time	Label	Time	Label
	8/2	Married	8/2	In a relationship	8/2	Married	8/2	In a relationship	8/2	In a relationship
	8/3	Married	8/3	In a relationship	8/3	Married	8/3	In a relationship	8/3	In a relationship
	8/4	Married	8/4	In a relationship	8/4	Married	8/4	In a relationship	8/4	In a relationship
	8/5	Married	8/5	In a relationship	8/5	Married	8/5	In a relationship	8/5	In a relationship
	8/6	Married	8/6	In a relationship	8/6	Married	8/6	In a relationship	8/6	In a relationship
	8/7	Married	8/7	In a relationship	8/7	Married	8/7	In a relationship	8/7	In a relationship
	8/8	Married	8/8	In a relationship	8/8	Married	8/8	In a relationship	8/8	In a relationship
	8/9	Married	8/9	In a relationship	8/9	Married	8/9	In a relationship	8/9	In a relationship
	8/10	Married	8/10	In a relationship	8/10	Married	8/10	In a relationship	8/10	In a relationship
	8/11	Married	8/11	In a relationship	8/11	Married	8/11	In a relationship	8/11	In a relationship
	8/12	Married	8/12	In a relationship	8/12	Married	8/12	In a relationship	8/12	In a relationship
	8/13	Married	8/13	In a relationship	8/13	Married	8/13	In a relationship	8/13	In a relationship
	8/14	Married	8/14	In a relationship	8/14	Married	8/14	In a relationship	8/14	In a relationship
	8/15	Married	8/15	In a relationship	8/15	Married	8/15	In a relationship	8/15	In a relationship